à		Vit, I, E
ạ		I
ác		N, Aa
ai		Pp, Pi
ái		E
ám		N, Vt
ám ảnh		Vt
ám chỉ		Vt
ám hại		Vt
ám hiệu		N, N
ám muội		Aa
ám quẻ		Vt
ám sát		Vt
ám tả		N
ám thị		Vit
ampe		Np
ampe kế		N
ampere		Np
ampere kế		N
ampli		Np
amygdal		Np
an		Aa
án		N, Vt
án binh bất động		Vit
án gian		N, Ng
án mạng		N, Ng
án ngữ		Vt
án phí		N
án quyết		N
án sát		N, Ng
án thư		N, Ng
án treo		N
án từ		N, Ng
ang		N, Ng
ang áng		Vt, Aa
ảng		N, Ng
áng		N, Nt, Vt
áng chừng		Vt
angorit		Np
anh		N
ảnh		N, Ng, Pp
ảnh ảo		N, Ng
ảnh âm		N, Ng
ảnh ẩn		N, Ng
ảnh dương		N, Ng
ảnh hưởng		N, Vta
ảnh thật		N, Ng
ánh		N, Aa
ánh kim		N
ánh ỏi		Aa
ánh sáng		N
ánh sáng lạnh		N
ánh xạ		N
ao		N, Vt
ao chuôm		N, Ng
ao tù		N
ao ước		Vt, Vim, Vtim
ào		Vit, Jd
ào ào		Aa
ào ạt		Aa
ảo		Aa
ảo ảnh		N, Ng
ảo đăng		N, Ng
ảo giác		N
ảo hoá		Vit
ảo mộng		N
ảo não		Aa
ảo thuật		N, Ng
ảo tưởng		N
ảo tượng		N, Ng
ảo vọng		N
áo		N
áp		Vt
át		N, Ng, Vt
át chủ bài		N, Ng
áy		Aa
áy náy		Vit
ăm ắp		An
ẵm		Vt
ẵm ngửa		Vit
ăn		V
ăng ẳng		Vit
ăng-ten		Np
ẳng		Vit
ắng		Aa
ắng cổ		Vit
ắng họng		Vit
ắng lặng		Aa
ăngten		N
ắp		An
ắt		Jd
ắt hẳn		Jd
ắt là		Jd
âm		N, Ng, Vit, Aa
âm âm		Aa
âm ẩm		Aa
âm ấm		Aa
âm ba		N
âm bản		N, Ng
âm binh		N, Ng
âm bội		N
âm chủ		N, Ng
âm cơ bản		N, Ng
âm cung		N
âm cực		N
âm dương		N
âm dương lịch		N
âm đạo		N
âm điệu		N, Ng
âm đức		N
âm giai		N
âm hao		N
âm học		N
âm hộ		N
âm hồn		N
âm hưởng		N
âm ỉ		Aa
âm khí		N
âm khu		N
âm lịch		N
âm luật		N
âm lượng		N
âm mưu		N, Vt
âm nang		N, Ng
âm nhạc		N
âm phần		N, Ng
âm phủ		N
âm sắc		N
âm tạp		N
âm tần		N, Aa
âm thanh		N
âm thầm		Aa
âm thoa		N
âm ti		N
âm tiết		N, Ng
âm tín		N
âm tính		Aa
âm tố		N, Ng
âm trình		N
âm ty		N, Ng
âm u		Aa
âm vang		N, Vit
âm vị		N
âm vị học		N
âm vực		N
ầm		Aa
ầm ã		Aa
ầm ì		Aa
ầm ĩ		Aa
ầm ừ		Vit
ẩm		Aa
ẩm độ		N
ẩm kế		N, Ng
ẩm sì		Aa
ẩm thấp		Aa
ẩm thực		Vit
ẩm ương		Aa
ẩm ướt		Aa
ẩm xì		Aa
ẩm xìu		Aa
ẫm ờ		Aa
ấm		N, Aa
ấm a ấm ớ		Vit, Aa
ấm a ấm ứ		Vit, Aa
ấm a ấm ức		Vitim, Aa
ấm ách		Aa
ấm áp		Aa
ấm chuyên		N
ấm cúng		Aa
ấm đầu		Aa
ấm êm		Aa
ấm no		Aa
ấm oái		Aa
ấm oé		Aa
ấm ớ		Vit, Aa
ấm siêu		N
ấm sinh		N, Ng
ấm tích		N
ấm ứ		Vit, Aa
ấm ức		Vitim, Aa
ậm à ậm ạch		Aa
ậm ạch		Aa
ậm oẹ		Aa
ậm ờ		Vit
ậm ừ		Vit
ậm ực		Aa
ân		N
ân ái		N, Vit
ân cần		Aa
ân đức		N
ân giảm		Vt
ân hận		Vitim
ân huệ		N
ân nghĩa		N
ân nhân		N, Ng
ân oán		N
ân thưởng		Vt
ân tình		N, Aa
ân tứ		N
ân xá		Vt
ẩn		N, Vit
ẩn chứa		Vt
ẩn cư		Vit
ẩn danh		Vit
ẩn dật		Vit
ẩn dụ		N
ẩn giấu		Vt
ẩn hiện		Vit
ẩn hoa		N
ẩn khuất		Vit
ẩn lậu		Vt
ẩn náu		Vit
ẩn nặc		Vt
ẩn nấp		Vit
ẩn ngữ		N
ẩn nhẫn		Vt
ẩn núp		Vit
ẩn sĩ		N, Ng
ẩn số		N
ẩn tàng		Vt
ẩn tình		N
ẩn ý		N
ấn		N, Ng, Vt
ấn bản		N, Ng
ấn định		Vt
ấn Độ giáo		N
ấn giáo		N
ấn hành		Vt
ấn kiếm		Ng
ấn loát		Vit
ấn loát phẩm		Ng
ấn phẩm		N, Ng
ấn quyết		N, Ng
ấn tín		N, Ng
ấn tượng		N
ấp		N, Nu, Vt
ấp a ấp úng		Vit
ấp chiến lược		N, Ng
ấp dân sinh		N, Ng
ấp iu		Vt
ấp ủ		Vt
ấp úng		Vit
ập		Vit
ất		N
âu		N, Vt, Vim, Vtim, Jr
âu ca		Vit
âu đất		N
Âu hoá		Vt
âu là		Jr
âu lo		Vt
âu nổi		N
âu phục		N, Ng
âu sầu		Aa
âu tàu		N
âu thuyền		N
âu yếm		Vt, Aa
ầu ơ		E
ẩu		Aa
ẩu đả		Vit
ẩu tả		Aa
ấu		N
ấu học		N
ấu thơ		Aa
ấu trĩ		Aa
ấu trĩ viên		N, Ng
ấu trùng		N, Ng
ậu		N
ẩy		Vt
ấy		Pd, I, E
ba		N, Nn
ba ba		N, Ng
ba bảy		N
ba bề bốn bên		Np
ba bị		N, Aa
ba chân bốn cẳng		Aa
